what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1452961866277
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1452961866405
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1452961866550
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1452961866855
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1452961866907
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1452961867054
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1452961867118
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1452961867408
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1452961867430
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1452961867649
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1452961867700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961870607
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1452961878582
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1452961879100
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1452961879337
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1452961879478
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1452961879704
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1452961879720
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1452961879877
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1452961879924
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1452961880000
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147-p001,"org.eclipse.wst.xml.core",1452961880132
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1452961880257
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1452961880712
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1452961881044
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1452961881274
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1452961882647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961882751
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1452961882827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452961882827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961887658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961892280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961896290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961952717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961953677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961955454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961960271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961961825
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452961962545
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1452961963990
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1452961964004
